File: p13_cgo_harness.test
Build ID: 709cbead639fc959c0bd4df7626fce7f43dbcbca
Type: cpu
Time: 2026-08-21 14:22:49 PDT
Duration: 2.01s, Total samples = 520ms (25.91%)
Showing nodes accounting for 520ms, 100% of 520ms total
      flat  flat%   sum%        cum   cum%
         0     0%     0%      480ms 92.31%  github.com/odvcencio/gotreesitter.(*Parser).parseIncrementalInternalWithMergePerKeyOverride
      10ms  1.92%  1.92%      480ms 92.31%  github.com/odvcencio/gotreesitter.(*Parser).parseInternal
         0     0%  1.92%      470ms 90.38%  github.com/odvcencio/gotreesitter.(*Parser).ParseIncrementalProfiled
         0     0%  1.92%      470ms 90.38%  github.com/odvcencio/gotreesitter.(*Parser).parseIncrementalChangedProfiled
         0     0%  1.92%      470ms 90.38%  github.com/odvcencio/gotreesitter/cgo_harness.(*p13ProfileCapture).hook
         0     0%  1.92%      470ms 90.38%  github.com/odvcencio/gotreesitter/cgo_harness.BenchmarkP13TimerIsolated.func1
         0     0%  1.92%      470ms 90.38%  github.com/odvcencio/gotreesitter/cgo_harness.benchmarkCanonicalGoIncremental
         0     0%  1.92%      470ms 90.38%  github.com/odvcencio/gotreesitter/cgo_harness.benchmarkCanonicalGoIncremental.func2
         0     0%  1.92%      470ms 90.38%  testing.(*B).run1.func1
         0     0%  1.92%      470ms 90.38%  testing.(*B).runN
         0     0%  1.92%      260ms 50.00%  github.com/odvcencio/gotreesitter.(*Parser).parseIncrementalInternal (inline)
         0     0%  1.92%      220ms 42.31%  github.com/odvcencio/gotreesitter.(*Parser).retryIncrementalAcceptedErrorWithDFA.func1
         0     0%  1.92%      210ms 40.38%  github.com/odvcencio/gotreesitter.(*Parser).retryIncrementalAcceptedErrorWithBaseMergeCap
         0     0%  1.92%      210ms 40.38%  github.com/odvcencio/gotreesitter.(*Parser).retryIncrementalAcceptedErrorWithDFA
         0     0%  1.92%      130ms 25.00%  github.com/odvcencio/gotreesitter.(*Parser).applyReduceActionDispatch
         0     0%  1.92%      110ms 21.15%  github.com/odvcencio/gotreesitter.(*Parser).applyActionWithReduceChain
         0     0%  1.92%      110ms 21.15%  github.com/odvcencio/gotreesitter.(*Parser).applyReduceActionFromGSS
         0     0%  1.92%       80ms 15.38%  github.com/odvcencio/gotreesitter.(*Parser).cRecoverAcquireToken
      10ms  1.92%  3.85%       80ms 15.38%  github.com/odvcencio/gotreesitter.(*dfaTokenSource).Next
         0     0%  3.85%       70ms 13.46%  github.com/odvcencio/gotreesitter.(*Parser).chainSingleReduceActions
         0     0%  3.85%       70ms 13.46%  github.com/odvcencio/gotreesitter.(*Parser).chainSingleReduceActionsClassified
         0     0%  3.85%       70ms 13.46%  github.com/odvcencio/gotreesitter.(*Parser).chainSingleReduceActionsClassifiedDefault
         0     0%  3.85%       60ms 11.54%  github.com/odvcencio/gotreesitter.(*Parser).prepareParseStacksForIteration
      10ms  1.92%  5.77%       60ms 11.54%  github.com/odvcencio/gotreesitter.mergeStacksWithScratch
         0     0%  5.77%       50ms  9.62%  github.com/odvcencio/gotreesitter.(*Parser).buildReduceChildrenWithPath
         0     0%  5.77%       50ms  9.62%  github.com/odvcencio/gotreesitter.(*Parser).cCondenseAndResume
      10ms  1.92%  7.69%       50ms  9.62%  github.com/odvcencio/gotreesitter.(*Parser).cNodeErrorCostAndVisibleSubtreeCount
         0     0%  7.69%       50ms  9.62%  github.com/odvcencio/gotreesitter.(*Parser).cStackPrefixAgg
