File: p13_cgo_harness.test
Build ID: 709cbead639fc959c0bd4df7626fce7f43dbcbca
Type: cpu
Time: 2026-08-21 14:22:49 PDT
Duration: 2.02s, Total samples = 570ms (28.20%)
Showing nodes accounting for 570ms, 100% of 570ms total
      flat  flat%   sum%        cum   cum%
         0     0%     0%      540ms 94.74%  github.com/odvcencio/gotreesitter.(*Parser).ParseIncrementalProfiled
         0     0%     0%      540ms 94.74%  github.com/odvcencio/gotreesitter.(*Parser).parseIncrementalChangedProfiled
         0     0%     0%      530ms 92.98%  github.com/odvcencio/gotreesitter.(*Parser).parseIncrementalInternalWithMergePerKeyOverride
         0     0%     0%      530ms 92.98%  github.com/odvcencio/gotreesitter.(*Parser).parseInternal
         0     0%     0%      530ms 92.98%  github.com/odvcencio/gotreesitter/cgo_harness.(*p13ProfileCapture).hook
         0     0%     0%      530ms 92.98%  github.com/odvcencio/gotreesitter/cgo_harness.BenchmarkP13TimerIsolated.func1
         0     0%     0%      530ms 92.98%  github.com/odvcencio/gotreesitter/cgo_harness.benchmarkCanonicalGoIncremental
         0     0%     0%      530ms 92.98%  github.com/odvcencio/gotreesitter/cgo_harness.benchmarkCanonicalGoIncremental.func2
         0     0%     0%      530ms 92.98%  testing.(*B).run1.func1
         0     0%     0%      530ms 92.98%  testing.(*B).runN
         0     0%     0%      310ms 54.39%  github.com/odvcencio/gotreesitter.(*Parser).parseIncrementalInternal (inline)
         0     0%     0%      230ms 40.35%  github.com/odvcencio/gotreesitter.(*Parser).retryIncrementalAcceptedErrorWithBaseMergeCap
         0     0%     0%      230ms 40.35%  github.com/odvcencio/gotreesitter.(*Parser).retryIncrementalAcceptedErrorWithDFA
         0     0%     0%      220ms 38.60%  github.com/odvcencio/gotreesitter.(*Parser).retryIncrementalAcceptedErrorWithDFA.func1
         0     0%     0%      190ms 33.33%  github.com/odvcencio/gotreesitter.(*Parser).applyReduceActionDispatch
      20ms  3.51%  3.51%      180ms 31.58%  github.com/odvcencio/gotreesitter.(*Parser).applyReduceActionFromGSS
         0     0%  3.51%      170ms 29.82%  github.com/odvcencio/gotreesitter.(*Parser).applyActionWithReduceChain
         0     0%  3.51%      120ms 21.05%  github.com/odvcencio/gotreesitter.(*Parser).chainSingleReduceActions
         0     0%  3.51%      120ms 21.05%  github.com/odvcencio/gotreesitter.(*Parser).chainSingleReduceActionsClassified
         0     0%  3.51%      120ms 21.05%  github.com/odvcencio/gotreesitter.(*Parser).chainSingleReduceActionsClassifiedDefault
         0     0%  3.51%       70ms 12.28%  github.com/odvcencio/gotreesitter.(*Parser).cCondenseAndResume
      20ms  3.51%  7.02%       70ms 12.28%  github.com/odvcencio/gotreesitter.(*Parser).cNodeErrorCostAndVisibleSubtreeCount
         0     0%  7.02%       70ms 12.28%  github.com/odvcencio/gotreesitter.(*Parser).cStackPrefixAgg
         0     0%  7.02%       70ms 12.28%  runtime.systemstack
         0     0%  7.02%       60ms 10.53%  github.com/odvcencio/gotreesitter.(*Parser).buildReduceChildrenWithPath
      10ms  1.75%  8.77%       60ms 10.53%  github.com/odvcencio/gotreesitter.(*Parser).captureRawShape
      60ms 10.53% 19.30%       60ms 10.53%  runtime.memclrNoHeapPointers
         0     0% 19.30%       50ms  8.77%  github.com/odvcencio/gotreesitter.(*Parser).cApplyMergedErrorGroupBaseline
         0     0% 19.30%       50ms  8.77%  github.com/odvcencio/gotreesitter.(*Parser).cHandleError
         0     0% 19.30%       50ms  8.77%  github.com/odvcencio/gotreesitter.(*Parser).cStackCumulativeNodeCount
         0     0% 19.30%       50ms  8.77%  github.com/odvcencio/gotreesitter.(*Parser).prepareParseStacksForIteration
         0     0% 19.30%       50ms  8.77%  github.com/odvcencio/gotreesitter.(*Parser).pushStackNode
