File: p13_cgo_harness.test
Build ID: 709cbead639fc959c0bd4df7626fce7f43dbcbca
Type: cpu
Time: 2026-08-21 14:22:26 PDT
Duration: 2.01s, Total samples = 450ms (22.42%)
Showing nodes accounting for 450ms, 100% of 450ms total
      flat  flat%   sum%        cum   cum%
         0     0%     0%      390ms 86.67%  github.com/odvcencio/gotreesitter.(*Parser).ParseIncrementalProfiled
         0     0%     0%      390ms 86.67%  github.com/odvcencio/gotreesitter.(*Parser).parseIncrementalChangedProfiled
         0     0%     0%      390ms 86.67%  github.com/odvcencio/gotreesitter.(*Parser).parseIncrementalInternal (inline)
         0     0%     0%      390ms 86.67%  github.com/odvcencio/gotreesitter.(*Parser).parseIncrementalInternalWithMergePerKeyOverride
      10ms  2.22%  2.22%      390ms 86.67%  github.com/odvcencio/gotreesitter.(*Parser).parseInternal
         0     0%  2.22%      390ms 86.67%  github.com/odvcencio/gotreesitter/cgo_harness.(*p13ProfileCapture).hook
         0     0%  2.22%      390ms 86.67%  github.com/odvcencio/gotreesitter/cgo_harness.benchmarkCanonicalGoIncremental.func2
         0     0%  2.22%      380ms 84.44%  github.com/odvcencio/gotreesitter/cgo_harness.BenchmarkP13TimerIsolated.func1
         0     0%  2.22%      380ms 84.44%  github.com/odvcencio/gotreesitter/cgo_harness.benchmarkCanonicalGoIncremental
         0     0%  2.22%      380ms 84.44%  testing.(*B).run1.func1
         0     0%  2.22%      380ms 84.44%  testing.(*B).runN
         0     0%  2.22%      100ms 22.22%  github.com/odvcencio/gotreesitter.(*Parser).applyActionWithReduceChain
         0     0%  2.22%      100ms 22.22%  github.com/odvcencio/gotreesitter.(*Parser).applyReduceActionDispatch
      10ms  2.22%  4.44%      100ms 22.22%  github.com/odvcencio/gotreesitter.(*Parser).applyReduceActionFromGSS
         0     0%  4.44%       80ms 17.78%  github.com/odvcencio/gotreesitter.(*Parser).prepareParseStacksForIteration
         0     0%  4.44%       70ms 15.56%  github.com/odvcencio/gotreesitter.mergeStacksWithScratch
         0     0%  4.44%       60ms 13.33%  github.com/odvcencio/gotreesitter.(*Parser).chainSingleReduceActions
         0     0%  4.44%       60ms 13.33%  github.com/odvcencio/gotreesitter.(*Parser).chainSingleReduceActionsClassified
      10ms  2.22%  6.67%       60ms 13.33%  github.com/odvcencio/gotreesitter.(*Parser).chainSingleReduceActionsClassifiedDefault
      20ms  4.44% 11.11%       60ms 13.33%  github.com/odvcencio/gotreesitter.tryGSSMainMergeResult
         0     0% 11.11%       50ms 11.11%  github.com/odvcencio/gotreesitter.(*Parser).cRecoverAcquireToken
      20ms  4.44% 15.56%       50ms 11.11%  github.com/odvcencio/gotreesitter.(*dfaTokenSource).Next
         0     0% 15.56%       50ms 11.11%  github.com/odvcencio/gotreesitter.(*nodeArena).rawShapeHash
         0     0% 15.56%       50ms 11.11%  github.com/odvcencio/gotreesitter.rawShapeChild.entry (inline)
         0     0% 15.56%       50ms 11.11%  github.com/odvcencio/gotreesitter.rawShapeComputeContentHash
      50ms 11.11% 26.67%       50ms 11.11%  github.com/odvcencio/gotreesitter.stackEntryNodeParseState
         0     0% 26.67%       50ms 11.11%  time.Now
      50ms 11.11% 37.78%       50ms 11.11%  time.runtimeNow
