File: p13_cgo_harness.test
Build ID: 709cbead639fc959c0bd4df7626fce7f43dbcbca
Type: cpu
Time: 2026-08-21 14:22:26 PDT
Duration: 2.01s, Total samples = 360ms (17.93%)
Showing nodes accounting for 360ms, 100% of 360ms total
      flat  flat%   sum%        cum   cum%
         0     0%     0%      340ms 94.44%  github.com/odvcencio/gotreesitter.(*Parser).ParseIncrementalProfiled
         0     0%     0%      340ms 94.44%  github.com/odvcencio/gotreesitter.(*Parser).parseIncrementalChangedProfiled
         0     0%     0%      340ms 94.44%  github.com/odvcencio/gotreesitter.(*Parser).parseIncrementalInternal (inline)
         0     0%     0%      340ms 94.44%  github.com/odvcencio/gotreesitter.(*Parser).parseIncrementalInternalWithMergePerKeyOverride
      20ms  5.56%  5.56%      340ms 94.44%  github.com/odvcencio/gotreesitter.(*Parser).parseInternal
         0     0%  5.56%      340ms 94.44%  github.com/odvcencio/gotreesitter/cgo_harness.(*p13ProfileCapture).hook
         0     0%  5.56%      340ms 94.44%  github.com/odvcencio/gotreesitter/cgo_harness.BenchmarkP13TimerIsolated.func1
         0     0%  5.56%      340ms 94.44%  github.com/odvcencio/gotreesitter/cgo_harness.benchmarkCanonicalGoIncremental
         0     0%  5.56%      340ms 94.44%  github.com/odvcencio/gotreesitter/cgo_harness.benchmarkCanonicalGoIncremental.func2
         0     0%  5.56%      340ms 94.44%  testing.(*B).run1.func1
         0     0%  5.56%      340ms 94.44%  testing.(*B).runN
         0     0%  5.56%      170ms 47.22%  github.com/odvcencio/gotreesitter.(*Parser).applyReduceActionDispatch
      10ms  2.78%  8.33%      170ms 47.22%  github.com/odvcencio/gotreesitter.(*Parser).applyReduceActionFromGSS
         0     0%  8.33%      140ms 38.89%  github.com/odvcencio/gotreesitter.(*Parser).applyActionWithReduceChain
         0     0%  8.33%       90ms 25.00%  github.com/odvcencio/gotreesitter.(*Parser).chainSingleReduceActions
         0     0%  8.33%       90ms 25.00%  github.com/odvcencio/gotreesitter.(*Parser).chainSingleReduceActionsClassified
         0     0%  8.33%       90ms 25.00%  github.com/odvcencio/gotreesitter.(*Parser).chainSingleReduceActionsClassifiedDefault
      10ms  2.78% 11.11%       50ms 13.89%  github.com/odvcencio/gotreesitter.(*Parser).cRecoverAcquireToken
      10ms  2.78% 13.89%       50ms 13.89%  github.com/odvcencio/gotreesitter.(*Parser).prepareParseStacksForIteration
         0     0% 13.89%       40ms 11.11%  github.com/odvcencio/gotreesitter.(*Parser).buildReduceChildrenWithPath
         0     0% 13.89%       40ms 11.11%  github.com/odvcencio/gotreesitter.(*Parser).captureRawShape
      10ms  2.78% 16.67%       40ms 11.11%  github.com/odvcencio/gotreesitter.(*dfaTokenSource).Next
         0     0% 16.67%       40ms 11.11%  github.com/odvcencio/gotreesitter.mergeStacksWithScratch
         0     0% 16.67%       40ms 11.11%  github.com/odvcencio/gotreesitter.tryGSSMainMergeResult
      10ms  2.78% 19.44%       30ms  8.33%  github.com/odvcencio/gotreesitter.(*Parser).applyShiftAction
         0     0% 19.44%       30ms  8.33%  github.com/odvcencio/gotreesitter.(*Parser).pushStackNode
      20ms  5.56% 25.00%       30ms  8.33%  github.com/odvcencio/gotreesitter.(*dfaTokenSource).nextGLRUnionDFAToken
         0     0% 25.00%       30ms  8.33%  github.com/odvcencio/gotreesitter.(*glrStack).push (inline)
         0     0% 25.00%       30ms  8.33%  github.com/odvcencio/gotreesitter.(*glrStack).pushEntry
      10ms  2.78% 27.78%       30ms  8.33%  github.com/odvcencio/gotreesitter.gssNodeCleanZeroErrorAllLinksWithScratch
         0     0% 27.78%       20ms  5.56%  github.com/odvcencio/gotreesitter.(*Parser).appendReduceChildrenToScratch
         0     0% 27.78%       20ms  5.56%  github.com/odvcencio/gotreesitter.(*Parser).applyAction
         0     0% 27.78%       20ms  5.56%  github.com/odvcencio/gotreesitter.(*Parser).cCondenseAndResume
         0     0% 27.78%       20ms  5.56%  github.com/odvcencio/gotreesitter.(*Parser).completeConflictReduceFrontier
         0     0% 27.78%       20ms  5.56%  github.com/odvcencio/gotreesitter.(*Parser).lookupActionIndex
      20ms  5.56% 33.33%       20ms  5.56%  github.com/odvcencio/gotreesitter.(*Parser).lookupActionIndexSmall
         0     0% 33.33%       20ms  5.56%  github.com/odvcencio/gotreesitter.(*Parser).lookupGoto
      10ms  2.78% 36.11%       20ms  5.56%  github.com/odvcencio/gotreesitter.(*gssScratch).allocNode
         0     0% 36.11%       20ms  5.56%  github.com/odvcencio/gotreesitter.(*gssStack).pushEntry
         0     0% 36.11%       20ms  5.56%  github.com/odvcencio/gotreesitter.(*nodeArena).rawShapeHash
         0     0% 36.11%       20ms  5.56%  github.com/odvcencio/gotreesitter.cRecoveryMergeCostsDiffer
         0     0% 36.11%       20ms  5.56%  github.com/odvcencio/gotreesitter.cStackCleanZeroErrorCostForMerge
         0     0% 36.11%       20ms  5.56%  github.com/odvcencio/gotreesitter.cStackErrorCostForMergeCached
      10ms  2.78% 38.89%       20ms  5.56%  github.com/odvcencio/gotreesitter.newParentNodeInArenaWithFieldSources
